quartier,superficie,nombre_de_chambres,douches_wc,type_d_acces,meublé,état_général,loyer_mensuel,confortable,espace
15,80,2,1,0,0,1,500000,0,40.0
7,90,2,1,2,0,2,700000,0,45.0
8,30,1,1,1,1,2,180000,1,30.0
12,110,2,1,2,0,2,850000,0,55.0
7,130,2,1,2,0,2,750000,0,65.0
10,100,3,1,2,0,2,600000,0,33.33
10,80,1,1,2,0,2,500000,0,80.0
13,15,1,0,0,0,0,150000,0,15.0
13,50,3,1,1,0,1,800000,0,16.67
13,20,1,0,0,0,1,250000,0,20.0
13,40,1,1,0,0,0,180000,0,40.0
2,60,2,1,0,0,0,300000,0,30.0
2,80,2,1,2,0,1,500000,0,40.0
2,50,2,0,1,0,0,300000,0,25.0
7,150,4,1,2,1,2,1400000,1,37.5
4,70,1,1,0,1,1,1000000,0,70.0
10,100,4,1,2,1,2,1500000,1,25.0
5,20,1,0,2,1,1,300000,0,20.0
11,80,3,1,2,1,2,950000,1,26.67
14,20,1,1,2,1,2,500000,1,20.0
1,50,1,1,2,1,1,525000,0,50.0
0,20,1,0,2,1,0,300000,0,20.0
6,30,1,1,2,1,2,500000,1,30.0
0,15,1,1,0,1,1,300000,0,15.0
0,10,1,0,0,0,0,140000,0,10.0
0,7,1,0,1,0,0,170000,0,7.0
0,60,1,1,1,0,1,500000,0,60.0
3,50,2,1,1,0,1,350000,0,25.0
3,20,2,1,0,0,1,350000,0,10.0
3,80,2,1,0,0,2,450000,0,40.0
